Massachusetts Institute of Technology,Cambridge
Harvard University,Cambridge
Stanford University,Stanford
Cornell University,Ithaca
University of California Berkeley,Berkeley
University of Michigan,Ann Arbor
University of Washington,Seattle
Columbia University in the City of New York,New York City
University of California Los Angeles,Los Angeles
Yale University,New Haven
University of Pennsylvania,Philadelphia
University of Minnesota-Twin Cities,Minneapolis
University of Wisconsin-Madison,Madison
The University of Texas at Austin,Austin
Johns Hopkins University,Baltimore
Princeton University,Princeton
University of Chicago,Chicago
Purdue University,West Lafayette
University of California San Diego,San Diego
New York University,New York City
University of Southern California,Los Angeles
University of California Davis,Davis
University of North Carolina at Chapel Hill,Chapel Hill
Penn State University,University Park
Carnegie Mellon University,Pittsburgh
Michigan State University,East Lansing
University of Florida,Gainesville
Arizona State University,Tempe
University of Illinois at Urbana-Champaign,Champaign
Duke University,Durham
Rutgers The State University of New Jersey,New Brunswick
University of Maryland,College Park
University of California Irvine,Irvine
The University of Arizona,Tucson
University of Virginia,Charlottesville
Northwestern University,Evanston
Texas A&M University,College Station
University of Colorado Boulder,Boulder
The Ohio State University,Columbus
Boston University,Boston
North Carolina State University,Raleigh
The University of Utah,Salt Lake City
Indiana University Bloomington,Bloomington
University of Pittsburgh,Pittsburgh
Tufts University,Medford
University of California Santa Barbara,Santa Barbara
Georgetown University,Washington
Georgia Institute of Technology,Atlanta
University of Nebraska-Lincoln,Lincoln
Washington University in St. Louis,St. Louis
Virginia Polytechnic Institute and State University,Blacksburg
University of Rochester,Rochester
California Institute of Technology,Pasadena
University of Georgia,Athens
Oregon State University,Corvallis
Brown University,Providence
University of Iowa,Iowa City
Iowa State University,Ames
University of South Florida,Tampa
Brigham Young University,Provo
University of Massachusetts Amherst,Amherst
Colorado State University,Fort Collins
George Mason University,Fairfax
Washington State University,Pullman
George Washington University,Washington
Vanderbilt University,Nashville
University of California San Francisco,San Francisco
University at Buffalo State University of New York,Buffalo
University of California Santa Cruz,Santa Cruz
Dartmouth College,Hanover
William Marsh Rice University,Houston
Florida State University,Tallahassee
University of Notre Dame,Notre Dame
University of Oregon,Eugene
University of Illinois at Chicago,Chicago
University of Kentucky,Lexington
Syracuse University,Syracuse
University of Delaware,Newark
University of California Riverside,Riverside
Emory University,Atlanta
University of Houston,Houston
University of Connecticut,Storrs
Georgia State University,Atlanta
University of Missouri,Columbia
University of Central Florida,Orlando
University of Kansas,Lawrence
University of New Mexico,Albuquerque
The University of Tennessee Knoxville,Knoxville
Temple University,Philadelphia
University of Miami,Coral Gables
Fordham University,The Bronx
Rochester Institute of Technology,Rochester
Northeastern University,Boston
Drexel University,Philadelphia
Boston College,Chestnut Hill
Louisiana State University,Baton Rouge
University of South Carolina,Columbia
University of North Texas,Denton
Florida International University,Miami
University of New Hampshire,Durham
San Diego State University,San Diego
Virginia Commonwealth University,Richmond
University of Vermont,Burlington
The University of Oklahoma,Norman
Clemson University,Clemson
University of Cincinnati,Cincinnati
American University,Washington
Rensselaer Polytechnic Institute,Troy
The University of Alabama,Tuscaloosa
Utah State University,Logan
Case Western Reserve University,Cleveland
The University of Tennessee at Martin,Martin
Oklahoma State University,Stillwater
Baylor University,Waco
Portland State University,Portland
Auburn University,Auburn
University of Alabama at Birmingham,Birmingham
West Virginia University,Morgantown
Southern Methodist University,Dallas
California State University Northridge,Northridge
San José State University,San José
San Francisco State University,San Francisco
Wayne State University,Detroit
Brandeis University,Waltham
